COMMAND     PID USER   FD      TYPE             DEVICE SIZE/OFF   NODE NAME
tuic-serv 11653 root  115u     IPv4             234897      0t0    TCP jp-n01.internal.cloudapp.net:43486->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  116u     IPv4             236446      0t0    TCP jp-n01.internal.cloudapp.net:50856->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  117u     IPv4             290089      0t0    TCP jp-n01.internal.cloudapp.net:49816->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  118u     IPv4             236772      0t0    TCP jp-n01.internal.cloudapp.net:52606->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  119u     IPv4             238003      0t0    TCP jp-n01.internal.cloudapp.net:58694->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  120u     IPv4             236883      0t0    TCP jp-n01.internal.cloudapp.net:32818->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  121u     IPv4             238965      0t0    TCP jp-n01.internal.cloudapp.net:40286->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  122u     IPv4             237759      0t0    TCP jp-n01.internal.cloudapp.net:57832->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  123u     IPv4             236937      0t0    TCP jp-n01.internal.cloudapp.net:58062->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  124u     IPv4             255500      0t0    TCP jp-n01.internal.cloudapp.net:42408->a104-71-141-50.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  125u     IPv4             237634      0t0    TCP jp-n01.internal.cloudapp.net:39854->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  126u     IPv4             237184      0t0    TCP jp-n01.internal.cloudapp.net:42604->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  127u     IPv4             237267      0t0    TCP jp-n01.internal.cloudapp.net:46762->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  128u     IPv4             246211      0t0    TCP jp-n01.internal.cloudapp.net:49262->a104-71-141-50.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  129u     IPv4             238074      0t0    TCP jp-n01.internal.cloudapp.net:49734->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  130u     IPv4             237404      0t0    TCP jp-n01.internal.cloudapp.net:53768->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  131u     IPv4             310773      0t0    TCP jp-n01.internal.cloudapp.net:53298->a23-47-146-16.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  132u     IPv4             261960      0t0    TCP jp-n01.internal.cloudapp.net:43326->a104-71-141-50.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  133u     IPv4             238738      0t0    TCP jp-n01.internal.cloudapp.net:60010->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  134u     IPv4             240093      0t0    TCP jp-n01.internal.cloudapp.net:54816->a104-71-141-50.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  135u     IPv4             243144      0t0    TCP jp-n01.internal.cloudapp.net:40904->a104-71-141-50.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  136u     IPv4             239024      0t0    TCP jp-n01.internal.cloudapp.net:54032->a104-71-141-50.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  137u     IPv4             239062      0t0    TCP jp-n01.internal.cloudapp.net:53440->a104-71-141-50.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
